lon,lat,ds_sd
136.36,33.314,23.326
132.76,32.455,63.254
133.75,33.293,56.104
133.48,33.186,57.044
133.56,33.176,54.642
132.59,32.084,52.397
138.33,34.936,34.01
132.11,30.611,-15.214
131.99,30.521,-6.9669
136.86,33.792,19.948
136.76,33.797,22.065
133.02,32.56,51.285
133.05,32.387,42.389
133.15,32.407,34.301
137.12,34.268,31.963
137.11,34.181,33.217
134.96,33.472,18.475
133.44,32.477,18.227
133.65,32.2,2.5703
133.6,32.128,2.0104
133.44,32.349,13.179
133.48,32.281,9.1701
133.5,32.425,13.732
133.6,32.279,4.8944
131.75,31.1,-56.376
133.79,33.12,50.669
132.47,31.424,-0.69351
132.37,31.539,3.8489
132.46,31.507,3.5345
133.7,33.151,52.167
134.79,33.566,19.182
134.79,33.521,21.215
134.52,33.467,41.536
134.68,33.508,28.28
137.86,34.302,34.519
137.77,34.356,32.66
137.82,34.219,34.538
132.74,31.763,21.934
132.65,31.792,27.439
132.37,31.876,35.15
132.34,31.802,30.085
132.46,31.867,36.189
134.31,33.335,65.217
134.2,33.32,69.628
131.96,32.218,32.778
132.01,32.294,37.497
132,31.022,-47.244
132.02,30.929,-45.23
133.45,32.759,32.786
133.55,32.755,29.614
132.6,31.669,19.015
132.59,31.753,24.589
131.88,30.631,-21.152
131.88,30.707,-28.882
132.87,32.646,63.587
136.72,33.731,21.091
136.62,33.722,24.532
132.91,32.412,54.909
132.99,32.432,50.231
134.52,33.349,47.85
134.79,33.195,28.993
133.72,32.971,42.015
134.15,32.718,31.139
138.49,34.855,11.629
137.68,34.058,32.474
137.77,34.044,27.436
132.2,31.574,0.53496
132.11,31.573,-1.8472
131.96,31.292,-36.225
131.97,31.215,-40.988
131.89,31.166,-49.467
131.76,31.241,-48.375
131.8,31.183,-51.997
132.89,31.815,19.448
132.8,31.935,33.804
132.79,31.821,24.457
132.74,31.879,30.047
131.82,30.516,-0.019911
133.8,32.512,12.512
137.26,34.549,13.022
137.45,34.227,36.999
137.34,34.078,36.947
134.9,33.306,23.054
133.97,33.156,58.071
134.08,33.009,54.349
134.25,32.719,28.722
134.27,32.644,23.759
131.91,31.064,-52.17
131.95,30.859,-44.441
133.43,32.846,36.984
131.99,31.632,-2.6549
131.78,31.666,-12.724
131.97,31.562,-8.1644
132.52,31.632,14.222
132.43,31.675,18.21
132.5,31.787,29.657
132.42,31.747,24.394
133.27,33.18,62.589
131.96,30.591,-15.445
131.97,30.718,-30.404
132.02,30.644,-21.569
132.86,32.357,54.352
132.8,32.214,52.464
132.72,32.257,59.348
132.7,32.332,62.437
132.76,32.379,61.332
132.97,32.638,56.811
132.83,32.788,67.926
132.79,32.714,68.189
133.6,33.251,55.738
133.68,33.233,54.451
131.68,31.412,-35.715
131.7,31.347,-40.358
136.6,33.632,23.547
136.66,33.561,19.042
136.75,33.571,16.212
136.79,33.65,17.204
132.89,32.522,59.125
132.98,32.505,52.484
132.85,32.467,58.905
134.86,33.472,21.841
134.61,33.368,39.642
134.7,33.082,33.937
134.79,33.119,28.322
132.12,32.389,47.363
133.6,32.837,32.965
133.53,32.894,38.24
132.09,32.313,46.057
132.15,32.256,50.37
131.91,32.081,25.189
131.98,32.16,34.338
133.79,32.706,26.945
133.68,32.826,32.489
133.74,32.881,36.735
133.72,32.726,27.801
137.17,34.041,33.536
137.18,34.13,34.99
132.05,31.338,-26.355
132.02,31.413,-22.236
132.5,31.939,41.799
132.59,31.936,40.07
137.89,34.156,29.429
137.86,34.085,26.805
134.19,32.587,19.127
134.19,32.519,14.436
134.6,33.434,37.523
134.68,33.46,30.136
132.28,31.07,-24.661
132.2,31.033,-32.216
132.53,32.41,71.387
132.57,32.492,72.523
132.11,31.719,8.511
132.2,31.73,15.65
138.33,34.861,30.212
138.42,34.812,19.149
133.54,32.98,43.246
131.63,30.567,-0.042419
131.58,30.621,-16.94
134.04,33.465,62.964
134.15,33.386,67.988
134.05,33.39,65.254
133.43,33.023,50.712
138.1,34.729,33.153
138.26,34.692,32.169
137.28,34.289,32.643
137.31,34.372,28.212
137.19,34.306,31.14
131.9,31.552,-16.854
131.8,31.595,-17.332
131.87,31.473,-23.546
132.23,31.511,-3.6452
132.31,31.493,-2.8715
133.86,32.568,17.589
133.84,32.642,22.433
137.05,33.794,18.886
133.08,32.702,51.344
132.99,32.695,56.93
132.26,32.112,53.221
132.32,32.178,59.115
133.94,32.736,30.181
138.11,34.521,33.967
138.2,34.556,34.663
138.06,34.58,31.99
133.33,32.96,49.321
133.23,32.989,57.566
133.23,33.066,60.913
