latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
37.9333,142.933,-21.7956,0.593459,-0.18998,0.056565,0.056768,-0.15407,0.046091,0.986985
37.9333,143.3,-17.0285,0.410604,-0.13428,0.074226,0.074927,-0.14849,0.042203,0.988013
37.9333,143.633,-12.5593,0.162779,-0.05401,0.104362,0.105765,-0.16332,0.040241,0.985753
37.93329,144,-6.91743,0.001329,-0.00048,0.125962,0.127795,-0.17615,0.040853,0.983516
37.63325,139.0001,-155.85,0.001329,-0.00048,0.05314,0.048674,-0.45635,0.182579,0.870865
37.63328,139.367,-139.109,0.091088,-0.03217,0.039026,0.036295,-0.44631,0.154834,0.881382
37.63329,139.7,-124.608,0.126749,-0.02801,0.02773,0.027473,-0.43319,0.159683,0.887047
37.6333,140.067,-108.801,0.134482,-0.01388,0.02667,0.026844,-0.44541,0.17626,0.877804
37.63331,140.433,-91.4765,0.191327,-0.025,0.025859,0.025602,-0.46215,0.177506,0.868857
37.63331,140.8,-73.9353,0.347619,-0.08157,0.026398,0.02584,-0.44089,0.169546,0.881403
37.63331,141.133,-60.2111,0.55004,-0.15069,0.027612,0.027136,-0.38021,0.141355,0.914034
37.63331,141.5,-48.0624,0.710928,-0.19901,0.028971,0.028957,-0.32031,0.104425,0.94154
37.63331,141.867,-38.2204,0.764749,-0.21644,0.030805,0.031401,-0.26156,0.076673,0.962137
37.63331,142.2,-31.2767,0.730365,-0.21301,0.036312,0.037407,-0.20674,0.06691,0.976106
37.63331,142.567,-25.1138,0.633946,-0.19251,0.046585,0.048046,-0.17186,0.062612,0.983129
37.63331,142.933,-19.9797,0.494753,-0.15564,0.061207,0.062996,-0.14943,0.058319,0.987051
37.63331,143.3,-15.3546,0.335133,-0.10725,0.080042,0.082198,-0.1452,0.054193,0.987917
37.63331,143.633,-10.9234,0.12867,-0.04154,0.111309,0.113873,-0.16847,0.054565,0.984195
37.6333,144,-4.75878,0.001329,-0.00048,0.133495,0.136305,-0.18857,0.069639,0.979587
37.33328,139.0001,-150.391,0.001329,-0.00048,0.050374,0.046612,-0.45617,0.194924,0.86828
37.3333,139.3671,-133.156,0.108406,-0.03568,0.036866,0.034451,-0.4434,0.209822,0.87142
37.33332,139.7001,-118.201,0.155385,-0.03077,0.026678,0.026142,-0.44406,0.209134,0.871248
37.33333,140.0671,-100.958,0.164992,-0.01533,0.025976,0.025819,-0.44785,0.222832,0.865899
37.33333,140.4331,-84.1525,0.203969,-0.02905,0.025386,0.025125,-0.44686,0.211962,0.86913
37.33334,140.8,-67.1141,0.309085,-0.08665,0.026284,0.02577,-0.41147,0.18192,0.893083
37.33334,141.133,-55.196,0.451818,-0.14908,0.02782,0.027021,-0.34085,0.139698,0.929682
