latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
38.80005,141.867,-45.9656,1.280064,-0.20173,1.104013,1.090441,-0.3487,0.042906,0.936252
38.80005,142.2,-37.6,5.108561,-1.99028,1.328476,1.32765,-0.24681,0.033583,0.968481
38.80005,142.567,-30.4771,14.10594,-5.10658,1.668315,1.649542,-0.20054,0.023785,0.979398
38.80005,142.933,-24.5788,19.33636,-6.88474,2.087635,2.120126,-0.17243,0.015707,0.984897
38.80005,143.3001,-19.3361,16.48433,-5.90062,2.723066,2.929576,-0.15869,0.01111,0.987265
38.80005,143.6331,-14.8402,7.824309,-2.8243,4.329004,4.766561,-0.15721,0.011396,0.9875
38.80004,144.0001,-9.64965,0.001329,-0.00048,5.664229,6.210837,-0.16091,0.019319,0.98678
38.49996,138.9999,-176.75,-0.00133,0.000484,2.528316,2.294112,-0.54594,0.178747,0.818533
38.49998,139.3669,-154.907,-1.0423,-0.35563,1.92211,1.890162,-0.50515,0.175109,0.84508
38.5,139.6999,-139.258,1.321972,-1.97879,1.503173,1.487683,-0.45065,0.152217,0.879629
38.50001,140.0669,-123.295,1.288094,-1.5133,1.399746,1.400205,-0.44421,0.142847,0.884463
38.50002,140.433,-106.94,-0.78306,0.40287,1.306237,1.308664,-0.45995,0.133471,0.877855
38.50002,140.8,-89.6459,1.980003,0.667315,1.172158,1.196813,-0.47787,0.125317,0.869449
38.50002,141.133,-73.2865,1.434868,0.27666,1.076392,1.078849,-0.46389,0.107138,0.879388
38.50002,141.5,-57.3723,1.072872,0.007162,0.989468,1.038642,-0.40762,0.091592,0.908546
38.50002,141.867,-44.582,6.604514,-1.04229,1.178177,1.180278,-0.32365,0.058271,0.94438
38.50002,142.2,-36.3738,10.52846,-3.35645,1.462243,1.420843,-0.23701,0.040788,0.97065
38.50002,142.567,-29.5746,19.40707,-6.99042,1.720126,1.831966,-0.19124,0.029496,0.9811
38.50002,142.933,-23.9059,24.15463,-8.73643,2.174472,2.346402,-0.16576,0.021728,0.985927
38.50002,143.3,-18.8285,19.85888,-7.20127,2.857005,3.130908,-0.15558,0.016129,0.987692
38.50002,143.633,-14.2964,9.048629,-3.30432,4.477901,4.925424,-0.16181,0.016423,0.986686
38.50001,144.0001,-8.80932,0.001329,-0.00048,5.807835,6.357646,-0.17021,0.026403,0.985054
38.19994,139,-169.1,-0.00133,0.000484,2.37939,2.148495,-0.53159,0.194221,0.824436
38.19997,139.367,-148.089,-1.55263,0.073183,1.838231,1.811683,-0.4835,0.167862,0.859097
38.19998,139.7,-133.941,0.125798,-1.24742,1.444072,1.431438,-0.43444,0.153059,0.887602
38.19999,140.067,-117.942,0.846839,-1.05679,1.354121,1.357371,-0.43883,0.143874,0.886979
38.2,140.433,-102.011,-0.15034,0.40569,1.273271,1.284235,-0.45561,0.142954,0.878629
